Town Code,Town Name,Registered,Envelopes,Valid votes,ObÄŤanskĂˇ demokratickĂˇ strana,Ĺ�Ăˇd nĂˇroda - VlasteneckĂˇ unie,CESTA ODPOVÄšDNĂ‰ SPOLEÄŚNOSTI,ÄŚeskĂˇ str.sociĂˇlnÄ› demokrat.,RadostnĂ© ÄŚesko,STAROSTOVĂ‰ A NEZĂ�VISLĂŤ,KomunistickĂˇ str.ÄŚech a Moravy,Strana zelenĂ˝ch,"ROZUMNĂŤ-stop migraci,diktĂˇt.EU",Strana svobodnĂ˝ch obÄŤanĹŻ,Blok proti islam.-Obran.domova,ObÄŤanskĂˇ demokratickĂˇ aliance,ÄŚeskĂˇ pirĂˇtskĂˇ strana,Referendum o EvropskĂ© unii,TOP 09,ANO 2011,DobrĂˇ volba 2016,SPR-Republ.str.ÄŚsl. M.SlĂˇdka,KĹ™esĹĄ.demokr.unie-ÄŚs.str.lid.,ÄŚeskĂˇ strana nĂˇrodnÄ› sociĂˇlnĂ­,REALISTĂ‰,SPORTOVCI,DÄ›lnic.str.sociĂˇlnĂ­ spravedl.,Svob.a pĹ™.dem.-T.Okamura (SPD),Strana PrĂˇv ObÄŤanĹŻ
552356,Babice,0,370,256,13,0,0,10,0,18,25,1,5,2,1,0,17,0,5,79,0,0,9,0,0,2,0,66,1
500526,BÄ›lkovice-LaĹˇĹĄany,0,370,256,13,0,0,10,0,18,25,1,5,2,1,0,17,0,5,79,0,0,9,0,0,2,0,66,1
500623,BĂ­lĂˇ Lhota,0,1801,1078,97,0,0,83,1,44,81,18,6,15,1,1,104,0,32,333,1,2,75,0,6,8,1,153,7
552062,BĂ­lsko,0,1801,1078,97,0,0,83,1,44,81,18,6,15,1,1,104,0,32,333,1,2,75,0,6,8,1,153,7
500801,Blatec,0,931,568,31,0,0,42,0,20,73,4,6,6,0,5,53,2,12,164,0,0,62,0,0,3,1,81,0
500852,BohuĹ�ovice,0,172,119,8,0,1,11,0,7,3,1,1,0,1,0,12,0,1,27,0,0,25,0,0,1,0,20,0
500861,Bouzov,0,172,119,8,0,1,11,0,7,3,1,1,0,1,0,12,0,1,27,0,0,25,0,0,1,0,20,0
552402,Bukovany,0,497,320,21,0,0,28,0,19,26,7,1,3,0,0,25,0,7,110,0,1,26,0,1,0,0,43,1
500879,BystroÄŤice,0,497,320,21,0,0,28,0,19,26,7,1,3,0,0,25,0,7,110,0,1,26,0,1,0,0,43,1
547026,Bystrovany,0,2030,1351,135,4,2,59,6,49,98,24,15,28,8,1,139,0,43,445,3,4,103,2,7,5,3,152,5
552186,ÄŚervenka,0,2030,1351,135,4,2,59,6,49,98,24,15,28,8,1,139,0,43,445,3,4,103,2,7,5,3,152,5
552445,DaskabĂˇt,0,1261,778,53,3,1,65,2,18,100,14,6,4,0,1,78,0,27,213,0,1,85,0,8,2,2,88,0
